#TYPE Selected.Microsoft.DnsClient.Commands.DnsRecord_A
"Name","IP_1","IP_2","IP_3","IP_4","IP_5","IP_6","IP_7","IP_8","IP_9","IP_10"
"mvbappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mynebraskaappliance.com","15.197.221.21","3.33.228.28","","","","","","","",""
"myhutchinsonfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"myersappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lynnsaudiovideo.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnsonmertzappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnsonappliancekewanee.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnsabc.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnsonsfurn.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jonesapplianceandtv.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jonasappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnvschultz.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jjglossappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jjappliancesaz.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jimsappliancesofinman.com","52.2.161.18","54.175.34.93","","","","","","","",""
"joesmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnplylerhomecenterappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johnniesappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"johans.com","52.2.161.18","54.175.34.93","","","","","","","",""
"joyofliving.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kellenbergers.com","52.2.161.18","54.175.34.93","","","","","","","",""
"karvonens.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kapfurniture.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"kelleyappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kensapplianceandservice.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kemptvilleinteriors.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"kelsosalesandservice.com","52.2.161.18","54.175.34.93","","","","","","","",""
"justintimeappliancecenter.com","52.2.161.18","54.175.34.93","","","","","","","",""
