avbid,store_code,name,locale,url
cn0074,cn0074,Seidel's BrandSource Home Furnishings Store View - cn0074,en_CA,https://www.seidels.ca/
cn0012,cn0012,Merit Furniture & Appliances Store View - cn0012,en_CA,https://www.merithomefurniture.ca/
cn0021,cn0021,Ashdown's Furniture & Interiors Store View - cn0021,en_CA,https://www.ashdowns.ca/
cn0023,cn0023,Atlantic Home Furnishings Limited Store View - cn0023,en_CA,https://www.atlantichome.net/
cn0026,cn0026,Barrault Home Furnishings Store View - cn0026,en_CA,https://www.barraultbrandsource.ca/
cn0027,cn0027,Brad's Furniture & Appliances Store View - cn0027,en_CA,https://www.bradsappliances.ca/
cn0028,cn0028,Burkes BrandSource Store View - cn0028,en_CA,https://www.burkesbrandsource.ca/
cn0029,cn0029,Cabot BrandSource Store View - cn0029,en_CA,https://www.cabotbrandsource.ca/
cn0030,cn0030,Caldwell BrandSource Store View - cn0030,en_CA,https://www.caldwellbrandsource.ca/
cn0033,cn0033,Christina's Home Furnishings Store View - cn0033,en_CA,https://www.christinahomefurnishings.com/
cn0035,cn0035,Daley's BrandSource Store View - cn0035,en_CA,https://www.daleysbrandsource.ca/
cn0037,cn0037,FW Black Store View - cn0037,en_CA,https://www.fwblack.com/
cn0038,cn0038,Fitz's Furniture Gallery Store View - cn0038,en_CA,https://www.fitzsfurnituregallery.ca/
cn0039,cn0039,Fuller Watson BrandSource Store View - cn0039,en_CA,https://www.fullerwatsonbrandsource.ca/
cn0041,cn0041,Furniture Villa BrandSource Home Furnishings Store View - cn0041,en_CA,https://www.furniturevillabrandsource.ca/
cn0045,cn0045,Groves TV & Appliance Centre Store View - cn0045,en_CA,https://www.grovestv.com/
cn0046,cn0046,Halton Hills Furniture & Appliances Store View - cn0046,en_CA,https://www.haltonhillsfurniture.ca/
cn0047,cn0047,Hambly's BrandSource Store View - cn0047,en_CA,https://www.hamblysbrandsource.ca/
cn0048,cn0048,Harvey's Home Centre Store View - cn0048,en_CA,https://www.harveyshomecentre.ca/
cn0049,cn0049,Inspired Interiors Store View - cn0049,en_CA,https://www.inspiredinteriorswhitehorse.ca/
cn0051,cn0051,Kamloops BrandSource Home Furnishings Store View - cn0051,en_CA,https://www.kamloopsbrandsource.ca/
cn0052,cn0052,Kemptville Interiors Store View - cn0052,en_CA,https://www.kemptvilleinteriors.ca/
cn0053,cn0053,Kullberg's BrandSource Home Furnishings Store View - cn0053,en_CA,https://www.kullbergs.ca/
cn0066,cn0066,Modern Living London Store View - cn0066,en_CA,https://www.modernlivinglondon.com/
cn0069,cn0069,Otto's Home Appliance Store View - cn0069,en_CA,https://www.ottosappliance.ca/
cn0072,cn0072,Roszell's Furnishings Store View - cn0072,en_CA,https://www.roszellsfurnishings.com/
cn0076,cn0076,Sleep N' Comfort Store View - cn0076,en_CA,https://www.sleepncomfort.ca/
cn0082,cn0082,Traders Furniture Store View - cn0082,en_CA,https://www.tradersltd.ca/
cn0083,cn0083,Vance BrandSource Home Furnishings Store View - cn0083,en_CA,https://www.vancebrandsource.ca/
cn0084,cn0084,Voth's BrandSource Home Furnishings Store View - cn0084,en_CA,https://www.vothsbrandsource.ca/
cn0086,cn0086,Welcome Home Furniture & Appliances Store View - cn0086,en_CA,https://www.welcomehomestpaul.ca/
cn0087,cn0087,Wiens Furniture Store View - cn0087,en_CA,https://www.wiensfurniture.ca/
cn0090,cn0090,Yarmouth Appliances & Home Furnishings Store View - cn0090,en_CA,https://www.yarmouthappliances.ca/
cn0104,cn0104,Airdrie Appliance & Furniture Store View - cn0104,en_CA,https://www.airdrieappliance.ca/
cn0105,cn0105,Edson Appliance and Furniture Store View - cn0105,en_CA,https://www.edsonappliances.ca/
